geoid,ctblockgroup,centroid_lon,centroid_lat,medhinc_cy,avghinc_cy,gini_fy,totpop_cy,n01_bus,s23_emp,n37_sales
060730010003,10003,6287452.748288824,1856810.4960770241,82933,117948,34.4,1175,39.0,49.0,169.0
060730010004,10004,6287448.562926148,1856110.6759604523,71136,91218,39.4,1342,65.0,327.0,1187.0
060730011001,11001,6290004.273288783,1859864.3866008695,83396,100588,29.0,1021,584.0,2074.0,5783.0
060730011002,11002,6290787.193168923,1858340.4776655282,95005,117295,30.3,1157,102.0,114.0,5935.0
060730011003,11003,6289402.416718902,1858474.4353700788,83071,109252,29.0,768,52.0,136.0,1864.0
060730012011,12011,6291909.857486387,1856650.6203511767,79863,96714,35.7,1365,28.0,42.0,0.0
060730012012,12012,6291068.421012899,1856780.5159965332,61667,71962,29.9,1074,113.0,289.0,10013.0
060730012021,12021,6290307.037172082,1856784.2356976285,74157,94258,35.2,1376,34.0,38.0,4214.0
060730012022,12022,6289354.516616882,1856784.4092573458,73593,97769,37.8,1780,28.0,154.0,3144.0
060730013011,13011,6291438.665445386,1855172.549499644,64402,78055,35.5,1191,85.0,167.0,1710.0
060730013012,13012,6291432.048817861,1853925.6688976847,100333,127081,30.9,1597,212.0,489.0,13396.0
060730013021,13021,6289725.560460333,1854393.9627821532,87382,108845,29.5,1114,19.0,61.0,0.0
060730013022,13022,6289729.988321774,1855213.938535314,70711,107135,33.3,1106,43.0,45.0,5841.0
060730013023,13023,6289721.919720363,1853597.9739729566,74743,85045,29.8,1079,73.0,68.0,2217.0
060730014001,14001,6290940.2355143735,1852458.1232368136,75195,83626,30.0,651,159.0,237.0,7495.0
